date,production,price
2025-01,8.617371418760055,67.65024012299129
2025-02,9.074454761525633,71.30654272411024
2025-03,8.574620007701135,76.98600619756355
2025-04,8.795831363170354,73.12558886887994
2025-05,9.065384818472074,79.77328889472147
2025-06,9.081123050994941,85.28506462648365
2025-07,9.008049131968592,78.81391393267995
2025-08,9.46825804950666,86.46299248468782
2025-09,9.378448348163868,88.96146656456345
2025-10,9.821991213399762,92.80001406987738
2025-11,9.679751516789603,89.01642059463849
2025-12,10.309986881003509,91.03863016074718
